X,Y,Z
0.06742089293468195,0.10891067320217855,0.05704844786780781
-0.02593111266718537,-0.140028008402801,-0.01555866760031122
-0.2748697942721649,0.01555866760031122,-0.005186222533437074
0.22300756893779417,0.10891067320217855,-0.036303557734059515
-0.12965556333592684,-0.19189023373717173,0.11928311826905269
0.6482778166796342,-0.23338001400466832,0.0777933380015561
-0.44082891534215124,-0.06742089293468195,0.10891067320217855
0.5860431462783893,-0.04667600280093366,0.2956146844059132
-0.3993391350746547,-0.23338001400466832,0.5860431462783893
0.005186222533437074,-0.23338001400466832,0.6793951518802567
0.3993391350746547,-0.20226267880404586,0.5756707012115152
-0.19189023373717173,-0.4512013604090254,0.6793951518802567
-0.19189023373717173,-0.0985382281353044,0.5860431462783893
-0.44082891534215124,-0.0777933380015561,0.48231869560964785
0.21263512387092,-0.6586502617465083,0.6067880364121376
-0.492691140676522,-0.285242239339039,0.4512013604090254
-0.12965556333592684,-0.6897675969471307,0.08816578306843026
-0.24375245907154247,-0.9698236137527327,-0.005186222533437074
0.5030635857433962,-0.6275329265458859,0.10891067320217855
0.16077289853654927,-0.9490787236189845,0.23338001400466832
0.3993391350746547,-0.7623747124152498,0.06742089293468195
0.30598712947278733,-0.44082891534215124,-0.12965556333592684
-0.3785942449409064,-0.7934920476158722,-0.04667600280093366
-0.08816578306843026,-0.845354272950243,-0.04667600280093366
-0.46157380547589955,-0.5964155913452635,-0.0777933380015561
0.4719462505427737,-0.6379053716127601,0.4512013604090254
-0.3163595745396615,0.23338001400466832,-0.036303557734059515
-0.005186222533437074,0.5238084758771444,0.30598712947278733
-0.5030635857433962,0.35784935480715807,-0.005186222533437074
0.5549258110777668,0.23338001400466832,0.140028008402801
-0.4304564702752771,0.20226267880404586,0.2748697942721649
-0.5549258110777668,-0.5134360308102703,0.4512013604090254
0.46157380547589955,-0.35784935480715807,0.48231869560964785
-0.06742089293468195,0.140028008402801,0.6690227068133825
-0.2541249041384166,0.2748697942721649,0.5134360308102703
0.3163595745396615,0.4304564702752771,0.2956146844059132
0.24375245907154247,-0.0985382281353044,-0.17114534360342343
-0.492691140676522,0.05704844786780781,0.23338001400466832
-0.16077289853654927,0.21263512387092,0.3889666900077805
0.4097115801415288,0.46157380547589955,-0.005186222533437074
-0.2748697942721649,0.492691140676522,0.05704844786780781
-0.2541249041384166,-0.3785942449409064,0.01555866760031122
-0.08816578306843026,-0.6897675969471307,0.36822179987403225
-0.12965556333592684,-0.565298256144641,0.15040045346967515
-0.02593111266718537,0.36822179987403225,0.02593111266718537
-0.05704844786780781,-0.2956146844059132,0.2748697942721649
-0.0985382281353044,0.48231869560964785,-0.10891067320217855
-0.005186222533437074,-0.5030635857433962,0.5134360308102703
-0.02593111266718537,0.565298256144641,0.32673201960653564
-0.3163595745396615,-0.565298256144641,-0.44082891534215124
-0.33710446467340976,-0.8246093828164948,-0.3889666900077805
0.21263512387092,-0.5030635857433962,-0.420084025208403
0.3163595745396615,-0.6586502617465083,-0.420084025208403
